CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,CD_DIST,NM_MUN,NM_DIST,Total_setores,v0001,v0002,v0003,v0004,v0005,v0006,v0007
3,Sudeste,31,Minas Gerais,3113404,311340410,Caratinga,Dom Lara,3,976,628,628,0,2.595744681,1.329787234,376
3,Sudeste,31,Minas Gerais,3113404,311340413,Caratinga,Dom Modesto,2,1050,569,568,1,2.651515152,4.545454545,396
3,Sudeste,31,Minas Gerais,3113404,311340424,Caratinga,Patrocínio de Caratinga,5,2132,1078,1078,0,2.827586207,2.785145889,754
3,Sudeste,31,Minas Gerais,3113404,311340426,Caratinga,Santa Efigênia de Caratinga,5,2689,1285,1285,0,2.795218295,0.727650728,962
3,Sudeste,31,Minas Gerais,3113404,311340427,Caratinga,Santa Luzia de Caratinga,5,2730,1393,1393,0,2.719123506,2.988047809,1004
3,Sudeste,31,Minas Gerais,3113404,311340435,Caratinga,Santo Antônio do Manhuaçu,7,2099,1326,1322,4,2.562881563,4.029304029,819
3,Sudeste,31,Minas Gerais,3113404,311340440,Caratinga,São Cândido,7,2712,2083,2083,0,2.565752129,3.500473037,1057
3,Sudeste,31,Minas Gerais,3113404,311340445,Caratinga,São João do Jacutinga,2,1245,675,675,0,2.66025641,0.854700855,468
3,Sudeste,31,Minas Gerais,3113404,311340450,Caratinga,Sapucaia,7,2591,1412,1412,0,2.580677291,3.28685259,1004
3,Sudeste,31,Minas Gerais,3113503,311350305,Carbonita,Carbonita,23,7683,4340,4334,6,2.499836974,0.032605152,3067
3,Sudeste,31,Minas Gerais,3113503,311350310,Carbonita,Abadia de Carbonita,2,254,283,283,0,2.565656566,,99
3,Sudeste,31,Minas Gerais,3113503,311350315,Carbonita,Santana de Carbonita,2,152,117,117,0,2.576271186,,59
3,Sudeste,31,Minas Gerais,3113503,311350320,Carbonita,Monte Belo de Carbonita,2,232,277,277,0,2.20952381,,105
3,Sudeste,31,Minas Gerais,3113503,311350325,Carbonita,Mercadinho,3,191,231,231,0,2.146067416,,89
3,Sudeste,31,Minas Gerais,3113602,311360205,Careaçu,Careaçu,19,6816,3084,3081,3,2.782430213,0.164203612,2436
3,Sudeste,31,Minas Gerais,3113701,311370105,Carlos Chagas,Carlos Chagas,34,14280,6669,6659,10,2.622802147,0.018508236,5403
3,Sudeste,31,Minas Gerais,3113701,311370110,Carlos Chagas,Epaminondas Otoni,6,1626,1029,1029,0,2.405325444,,676
3,Sudeste,31,Minas Gerais,3113701,311370115,Carlos Chagas,Presidente Pena,10,2709,1526,1526,0,2.58739255,,1047
3,Sudeste,31,Minas Gerais,3113800,311380005,Carmésia,Carmésia,11,2605,1249,1245,4,2.862637363,1.428571429,910
3,Sudeste,31,Minas Gerais,3113909,311390905,Carmo da Cachoeira,Carmo da Cachoeira,25,11000,4940,4900,40,2.89748394,0.802997859,3736
3,Sudeste,31,Minas Gerais,3113909,311390920,Carmo da Cachoeira,Palmital do Cervo,2,547,310,310,0,2.568075117,,213
3,Sudeste,31,Minas Gerais,3114006,311400605,Carmo da Mata,Carmo da Mata,32,11019,5732,5729,3,2.578143361,0.352526439,4255
3,Sudeste,31,Minas Gerais,3114105,311410505,Carmo de Minas,Carmo de Minas,40,13797,5853,5841,12,2.94467169,0.516684607,4645
3,Sudeste,31,Minas Gerais,3114204,311420405,Carmo do Cajuru,Carmo do Cajuru,54,20047,9481,9475,6,2.744540585,0.86526576,7281
3,Sudeste,31,Minas Gerais,3114204,311420408,Carmo do Cajuru,Bom Jesus de Angicos,3,674,690,690,0,2.450909091,0.363636364,275
3,Sudeste,31,Minas Gerais,3114204,311420409,Carmo do Cajuru,Santo Antônio da Serra,5,451,399,399,0,2.210784314,0.980392157,204
3,Sudeste,31,Minas Gerais,3114204,311420410,Carmo do Cajuru,São José dos Salgados,12,2307,1548,1547,1,2.553709856,1.439645626,903
3,Sudeste,31,Minas Gerais,3114303,311430305,Carmo do Paranaíba,Carmo do Paranaíba,82,27454,12855,12848,7,2.606885277,3.836907395,10399
3,Sudeste,31,Minas Gerais,3114303,311430310,Carmo do Paranaíba,Quintinos,8,1557,1076,1075,1,2.351963746,0.302114804,662
3,Sudeste,31,Minas Gerais,3114402,311440205,Carmo do Rio Claro,Carmo do Rio Claro,57,18742,9906,9887,19,2.611212079,0.279602964,7153
3,Sudeste,31,Minas Gerais,3114402,311440210,Carmo do Rio Claro,Itaci,10,947,728,728,0,2.705714286,1.714285714,350
3,Sudeste,31,Minas Gerais,3114402,311440220,Carmo do Rio Claro,Vilelândia,4,1265,612,612,0,2.86199095,0.904977376,442
3,Sudeste,31,Minas Gerais,3114501,311450105,Carmópolis de Minas,Carmópolis de Minas,42,16552,7873,7857,16,2.795741056,0.442930153,5870
3,Sudeste,31,Minas Gerais,3114501,311450110,Carmópolis de Minas,Bom Jardim das Pedras,5,1451,730,730,0,3.016632017,0.831600832,481
3,Sudeste,31,Minas Gerais,3114550,311455005,Carneirinho,Carneirinho,23,5986,2976,2971,5,2.542978723,0.170212766,2350
3,Sudeste,31,Minas Gerais,3114550,311455010,Carneirinho,Estrela da Barra,4,842,529,529,0,2.398860399,0.854700855,351
3,Sudeste,31,Minas Gerais,3114550,311455017,Carneirinho,Fátima do Pontal,2,417,249,249,0,2.410404624,2.312138728,173
3,Sudeste,31,Minas Gerais,3114550,311455020,Carneirinho,São Sebastião do Pontal,6,2177,1194,1192,2,2.475540387,,879
3,Sudeste,31,Minas Gerais,3114600,311460005,Carrancas,Carrancas,24,4049,2531,2487,44,2.645076008,0.660938533,1513
3,Sudeste,31,Minas Gerais,3114709,311470905,Carvalhópolis,Carvalhópolis,10,3341,1722,1720,2,2.71954211,3.025347506,1223
3,Sudeste,31,Minas Gerais,3114808,311480805,Carvalhos,Carvalhos,13,3765,1983,1978,5,2.591539528,1.525658807,1442
3,Sudeste,31,Minas Gerais,3114808,311480810,Carvalhos,Franceses,3,244,194,189,5,2.630434783,,92
3,Sudeste,31,Minas Gerais,3114808,311480815,Carvalhos,Muquem de São Lázaro,5,413,276,276,0,2.699346405,3.921568627,153
3,Sudeste,31,Minas Gerais,3114907,311490705,Casa Grande,Casa Grande,7,2214,1063,1063,0,2.894117647,0.522875817,765
3,Sudeste,31,Minas Gerais,3115003,311500305,Cascalho Rico,Cascalho Rico,6,2712,1780,1772,8,2.536355052,0.094428706,1059
3,Sudeste,31,Minas Gerais,3115102,311510205,Cássia,Cássia,68,17155,9437,9429,8,2.659179535,0.031196381,6411
3,Sudeste,31,Minas Gerais,3115201,311520105,Conceição da Barra de Minas,Conceição da Barra de Minas,10,3560,1924,1922,2,2.674471299,1.586102719,1324
3,Sudeste,31,Minas Gerais,3115300,311530005,Cataguases,Cataguases,129,62005,29226,29207,19,2.593152064,4.909365559,23832
3,Sudeste,31,Minas Gerais,3115300,311530007,Cataguases,Aracati de Minas,2,456,348,348,0,2.451612903,,186
3,Sudeste,31,Minas Gerais,3115300,311530010,Cataguases,Cataguarino,2,681,537,536,1,2.52851711,4.942965779,263
3,Sudeste,31,Minas Gerais,3115300,311530012,Cataguases,Glória de Cataguases,2,275,250,250,0,2.644230769,2.884615385,104
3,Sudeste,31,Minas Gerais,3115300,311530015,Cataguases,Sereno,4,2134,1019,1018,1,2.757105943,4.780361757,774
